manage_no,depth1,depth2,depth3,main_addr_no,sub_addr_no,latitude,longitude
보라매01-09,서울,관악구,신림동,1677,5.0,37.484708,126.903384
보라매01-10,서울,관악구,신림동,1677,4.0,37.484717,126.90382
보라매01-11,서울,관악구,신림동,1677,4.0,37.484685,126.904222
보라매01-12,서울,관악구,신림동,1677,4.0,37.484691,126.904606
보라매01-13,서울,관악구,신림동,1677,4.0,37.484671,126.905004
보라매01-14,서울,관악구,신림동,1677,4.0,37.48468,126.905418
보라매01-15,서울,관악구,신림동,1677,4.0,37.484835,126.905403
보라매01-16,서울,관악구,신림동,1677,4.0,37.484826,126.905017
보라매01-17,서울,관악구,신림동,1677,4.0,37.484842,126.904627
보라매01-18,서울,관악구,신림동,1677,4.0,37.484844,126.904244
보라매01-19,서울,관악구,신림동,1677,4.0,37.484864,126.903862
보라매01-20,서울,관악구,신림동,1677,5.0,37.484859,126.903438
보라매02-01,서울,관악구,신림동,1677,4.0,37.484695,126.9058
보라매02-02,서울,관악구,신림동,1677,3.0,37.484723,126.906195
보라매02-03,서울,관악구,신림동,1677,3.0,37.484787,126.906518
보라매02-04,서울,관악구,신림동,1677,3.0,37.48486,126.906867
보라매02-05,서울,관악구,신림동,1677,3.0,37.484973,126.907237
보라매02-06,서울,관악구,신림동,1677,3.0,37.485048,126.90755
보라매02-07,서울,관악구,신림동,1677,2.0,37.485151,126.90788
보라매02-08,서울,관악구,신림동,1677,,37.485224,126.908214
보라매02-09,서울,관악구,신림동,1677,,37.485333,126.908534
보라매02-10,서울,관악구,신림동,1677,,37.48542,126.908911
보라매02-11,서울,관악구,신림동,1677,,37.485534,126.909284
보라매02-12,서울,관악구,신림동,551,,37.485626,126.909655
보라매02-13,서울,관악구,신림동,551,,37.48572,126.909952
보라매02-14,서울,관악구,신림동,551,,37.485793,126.910261
보라매02-15,서울,관악구,신림동,518,,37.485887,126.910556
보라매02-16,서울,관악구,신림동,518,,37.485973,126.910895
보라매02-17,서울,관악구,신림동,518,,37.486092,126.911191
보라매02-18,서울,관악구,신림동,518,,37.486189,126.911477
보라매02-19,서울,관악구,신림동,534,,37.486308,126.911734
보라매02-20,서울,관악구,신림동,518,,37.486412,126.911997
보라매02-21,서울,관악구,신림동,518,,37.486551,126.912218
보라매02-22,서울,관악구,신림동,518,,37.486668,126.912463
보라매02-23,서울,관악구,신림동,518,,37.486821,126.91268
보라매02-24,서울,관악구,신림동,518,,37.486969,126.912938
보라매02-25,서울,관악구,신림동,516,,37.487158,126.913214
보라매02-26,서울,관악구,신림동,516,,37.487302,126.913472
보라매02-27,서울,관악구,신림동,499,,37.487478,126.91372
보라매02-28,서울,관악구,신림동,499,,37.487634,126.914013
보라매02-29,서울,관악구,신림동,499,,37.487821,126.914262
보라매02-30,서울,관악구,신림동,499,,37.487989,126.914577
보라매02-31,서울,관악구,신림동,499,,37.488202,126.914886
보라매02-32,서울,관악구,신림동,499,,37.488406,126.915233
보라매02-33,서울,관악구,신림동,499,,37.488619,126.915533
보라매02-34,서울,관악구,신림동,499,,37.488819,126.915881
보라매02-35,서울,관악구,신림동,477,,37.489038,126.916159
보라매02-36,서울,관악구,신림동,497,,37.489257,126.916461
보라매02-37,서울,관악구,신림동,497,,37.489489,126.916711
보라매02-38,서울,관악구,신림동,497,,37.489687,126.917174
보라매02-39,서울,관악구,신림동,497,,37.489771,126.917717
보라매02-42,서울,관악구,신림동,497,,37.489263,126.916188
보라매02-43,서울,관악구,신림동,498,,37.489018,126.915867
보라매02-44,서울,관악구,신림동,498,,37.488806,126.91556
보라매02-45,서울,관악구,신림동,498,,37.488628,126.915264
보라매02-46,서울,관악구,신림동,498,,37.488431,126.914973
보라매02-47,서울,관악구,신림동,498,,37.488269,126.914697
보라매02-48,서울,관악구,신림동,498,,37.488079,126.91441
보라매02-49,서울,관악구,신림동,498,,37.48793,126.914154
보라매02-50,서울,관악구,신림동,498,,37.487738,126.913869
보라매02-51,서울,관악구,신림동,498,,37.487593,126.913619
보라매02-52,서울,관악구,신림동,498,,37.487431,126.913379
보라매02-53,서울,관악구,신림동,534,,37.487302,126.913153
보라매02-54,서울,관악구,신림동,534,,37.487158,126.912948
보라매02-55,서울,관악구,신림동,534,,37.487011,126.912684
보라매02-56,서울,관악구,신림동,534,,37.486875,126.912504
보라매02-63,서울,관악구,신림동,534,,37.486087,126.910753
보라매02-64,서울,관악구,신림동,534,,37.486,126.910417
보라매02-65,서울,관악구,신림동,550,,37.485903,126.910105
보라매02-66,서울,관악구,신림동,1677,,37.485821,126.909763
보라매02-67,서울,관악구,신림동,1677,,37.485724,126.909444
보라매02-68,서울,관악구,신림동,1677,,37.48563,126.909064
보라매02-69,서울,관악구,신림동,1677,,37.485514,126.90868
보라매02-70,서울,관악구,신림동,1677,,37.485413,126.908289
보라매02-71,서울,관악구,신림동,1677,2.0,37.485304,126.907895
보라매02-72,서울,관악구,신림동,1677,2.0,37.485202,126.907519
보라매02-73,서울,관악구,신림동,1677,3.0,37.485098,126.907167
보라매02-74,서울,관악구,신림동,1677,3.0,37.485007,126.906807
보라매02-75,서울,관악구,신림동,1677,3.0,37.484913,126.906475
보라매02-76,서울,관악구,신림동,1677,3.0,37.484878,126.906128
보라매02-77,서울,관악구,신림동,1677,4.0,37.484829,126.90575
보라매03-64,서울,관악구,신림동,498,,37.487756,126.913379
보라매03-65,서울,관악구,신림동,498,,37.487924,126.913658
보라매03-66,서울,관악구,신림동,498,,37.488087,126.913926
보라매03-67,서울,관악구,신림동,498,,37.488248,126.914188
보라매03-68,서울,관악구,신림동,498,,37.488429,126.914487
보라매03-69,서울,관악구,신림동,498,,37.488596,126.914762
보라매03-70,서울,관악구,신림동,498,,37.48878,126.915067
사당고가-01,서울,관악구,남현동,1129,1.0,37.476557,126.979245
사당고가-02,서울,관악구,남현동,1129,1.0,37.476551,126.979617
사당고가-03,서울,관악구,남현동,1130,1.0,37.476542,126.979942
사당고가-04,서울,관악구,남현동,1130,1.0,37.47653,126.980291
